English	Spanish	Part of Speech
Angel	ángel	Noun
Angriest	furioso	Noun
Angry	enfadada	Noun
Angry	enfadadas	Noun
Angry	enfadado	Noun
Angry	enfadados	Noun
Angry	enojada	Noun
Angry	enojadas	Noun
Angry	enojado	Noun
Angry	enojados	Noun
Angry	enojar	Noun
Angry	enojaras	Noun
Angry	enojarás	Noun
Angry	furioso	Noun
Angry	indignada	Noun
Angry	indignadas	Noun
Angry	indignado	Noun
Angry	indignados	Noun
Animal	salvaje	Noun
Animated	animado	Verb
Animated Film	una película animada	Noun
Animation	animación	Noun
Ankle	el tobillo	Noun
Ankle	tobillo	Noun
Anniversary	aniversario	Noun
Announce	anuncia	Noun
Announce	anunciamos	Noun
Announce	anuncian	Noun
Announce	anunciar	Noun
Announce	anuncio	Noun
Announce	comenta	Noun
Announce	comentan	Noun
Announce	participar	Noun
Announcement	anuncio	Noun
Announcement	el anuncio	Noun
Annoy	molesta	Noun
Annoy	molestan	Noun
Annoy	molestarlo	Noun
Annoy	molestas	Noun
Annoy	molestes	Noun
Annoyed	airada	Verb
Annoyed	caliente	Verb
Annoyed	desagradó	Verb
Annoyed	enfadado	Verb
Annoyed	enojado	Verb
Annoyed	enojados	Verb
Annoyed	fastidiaba	Verb
Annoyed	fastidiaban	Verb
Annoyed	fastidiabas	Verb
Annoyed	fastidiado	Verb
Annoyed	fastidiaron	Verb
Annoyed	fastidiaste	Verb
Annoyed	fastidié	Verb
Annoyed	fastidió	Verb
Annoyed	irritaba	Verb
Annoyed	irritaban	Verb
Annoyed	irritabas	Verb
Annoyed	irritada	Verb
Annoyed	irritado	Verb
Annoyed	irritados	Verb
Annoyed	irritaron	Verb
Annoyed	irritaste	Verb
Annoyed	irrité	Verb
Annoyed	irritó	Verb
Annoyed	molesta	Verb
Annoyed	molestaba	Verb
Annoyed	molestaban	Verb
Annoyed	molestabas	Verb
Annoyed	molestado	Verb
Annoyed	molestaron	Verb
Annoyed	molestas	Verb
Annoyed	molestaste	Verb
Annoyed	molesto	Verb
Annoyed	molestos	Verb
Annoyed	molesté	Verb
Annoyed	molestó	Verb
Annoying	fastidiando	Verb
Annoying	irritando	Verb
Annoying	molesta	Verb
Annoying	molestando	Verb
Annoying	molestas	Verb
Annoying	molesto	Verb
Annoying	molestos	Verb
Annoying	pesada	Verb
Annoying	pesado	Verb
Annual	anual	Noun
Annual	anuales	Noun
Annual Tax Return In Spain	la declaración de la renta	Noun
Anonymous	anónimo	Noun
Another	otra	Noun
Another	otras	Noun
Another	otro	Noun
Another	otros	Noun
Another One	otra	Noun
Another One	otro	Noun
Answer	atendemos	Noun
Answer	atender	Noun
Answer	atendieron	Noun
Answer	atiende	Noun
Answer	atiendo	Noun
Answer	contesta	Noun
Answer	contestar	Noun
Answer	contestara	Noun
Answer	contestará	Noun
Answer	contestas	Noun
Answer	contestaste	Noun
Answer	conteste	Noun
Answer	contestemos	Noun
Answer	contesto	Noun
Answer	contestó	Noun
Answer	respondamos	Noun
Answer	responde	Noun
Answer	respondemos	Noun
Answer	responden	Noun
Answer	responder	Noun
Answer	responderé	Noun
Answer	respondes	Noun
Answer	respondieron	Noun
Answer	respondiste	Noun
Answer	respondió	Noun
Answer	respondo	Noun
Answer	respondí	Noun
Answer	respuesta	Noun
Answer	respuestas	Noun
Answer	solución	Noun
Answer Back	responder	Noun
Answered	contestado	Verb
Answered	contestara	Verb
Answered	contestó	Verb
Answered	respondieron	Verb
Answered	respondimos	Verb
Answered	respondiste	Verb
Answered	respondió	Verb
Answered	respondí	Verb
Answering	contestar	Verb
Answering	respondiendo	Verb
Answering Back	respondiendo	Noun
Answers	respuesta	Noun
Ant	hormiga	Noun
Antes	now	Noun
Antes Bien	rather	Verb
Antibacterial	antibacterial	Noun
Antibiotic	antibiótico	Noun
Anticipated	anticipada	Verb
Antique	antiguo	Noun
Antivirus	antivirus	Noun
Antivirus Software	antivirus	Noun
Anunciar	oppressed	Noun
Anxiety	ansiedad	Noun
Anxiety	estrés	Noun
Anxious	ansioso	Noun
Anxious	preocupado	Noun
Any	algo	Noun
Any	alguna	Noun
Any	algunas	Noun
Any	alguno	Noun
Any	algunos	Noun
Any	algún	Noun
Any	cualquier	Noun
Any	cualquiera	Noun
Any	más	Noun
Any	nada	Noun
Any	ninguna	Noun
Any	ninguno	Noun
Any	ningún	Noun
Any	poco	Noun
Any	un poco	Noun
Any Longer	más	Noun
Any More	más	Noun
Any One	cualquiera	Noun
Anybody	alguien	Noun
Anybody	cualquiera	Noun
Anybody	nadie	Noun
Anymore	más	Noun
Anymore	nunca más	Noun
Anyone	alguien	Noun
Anyone	cualquiera	Noun
Anyone	nadie	Noun
Anything	algo	Verb
Anything Else	algo más	Noun
Anyway	bueno	Noun
Anyway	igual	Noun
Anywhere	algún lugar	Noun
Anywhere	ningún lugar	Noun
Apaciguar	adapt	Noun
Apart From That	por lo demás	Noun
Aparthotel	el apartahotel	Noun
Apartment	apartamento	Noun
Apartment	departamento	Noun
Apathetic	apático	Noun
Apathy	la apatía	Noun
Apocalypse	apocalipsis	Noun
Apologize	disculparnos	Noun
Apologize	disculparse	Noun
Apologize	disculpe	Noun
Apologize	disculpes	Noun
Apologize	me disculparé	Noun
Apologize	pedir perdón	Noun
Apologize	pediré perdón	Noun
Apologize	pediría perdón	Noun
Apologize	pedirían perdón	Noun
Apologize	pedirías perdón	Noun
Apologize	pide perdón	Noun
Apologize	pido perdón	Noun
Apologized	disculparse	Verb
Apologizing	disculparse	Verb
Apology	disculpa	Noun
App	aplicación	Noun
App	apps	Noun
App's	aplicación	Noun
App's	programa	Noun
Apparently	aparentemente	Adjective
Appeal	llamara	Noun
Appeal	llame	Noun
Appeal	recurso	Noun
Appealing	apetecible	Verb
Appear	aparece	Noun
Appear	aparecen	Noun
Appear	aparecer	Noun
Appear	apareciera	Noun
Appear	aparecieran	Noun
Appear	aparezca	Noun
Appear	aparezcas	Noun
Appear	aparezco	Noun
Appear	destacan	Noun
Appear	figura	Noun
Appear	lucirán	Noun
Appear	luzcan	Noun
Appear	parecerte	Noun
Appear	pareces	Noun
Appear	pareciera	Noun
Appear	parecía	Noun
Appear	parezcan	Noun
Appear	presentar	Noun
Appear	presente	Noun
Appear	resultas	Noun
Appear	saliste	Noun
Appear	salió	Noun
Appear	surgió	Noun
Appearance	aparición	Noun
Appearance	apariencia	Noun
Appearance	apariencias	Noun
Appearance	aspecto	Noun
Appearance	comparecencia	Noun
Appearance	publicación	Noun
Appeared	salí	Verb
Appearing	saliendo	Verb
Appearing	salir	Verb
Appears	aparecer	Noun
Appears	figura	Noun
Appears	parece	Noun
Appears	parecer	Noun
Appears	sale	Noun
Appears	salir	Noun
Appease	calmo	Noun
Appetizer	aperitivo	Noun
Appetizer	bocadillo	Noun
Appetizer	botana	Noun
Appetizer	canapés	Noun
Appetizer	entremeses	Noun
Applause	el aplauso	Noun
Apple	la manzana	Noun
Apple	manzana	Noun
Apple	manzanas	Noun
Apple	una manzana	Noun
Appliance	electrodoméstico	Noun
Appliance	electrodomésticos	Noun
Appliances	electrodoméstico	Noun
Applicable In The Context Of Capital Gains And Losses	la compensación de pérdidas	Noun
Applicable To Certain Taxpayers	la deducción por alquiler de vivienda habitual	Noun
Applicable To Certain Taxpayers Under Specific Conditions	el régimen especial	Noun
Application	aplicación	Noun
Application	apps	Noun
Application	postulación	Noun
Application	solicitud	Noun
Application Form	solicitud	Noun
Applied	aplicaba	Verb
Applied	aplicado	Verb
Applied	aplicamos	Verb
Applied	aplicar	Verb
Applied	aplicarse	Verb
Applied	aplicará	Verb
Applied	aplicábamos	Verb
Applied	aplicó	Verb
Applied	postulaste	Verb
Applied	solicitará / pedir algo	Verb
Applied	solicitaste admisión	Verb
Applied	solicitábamos / pedir algo	Verb
Applied	Solicité	Verb
Applied	solicitó / pedir algo	Verb
Applied	solicitó admisión	Verb
Apply	solicitar admisión	Adverb
Apply For	solicitar	Noun
Applying	solicitar	Verb
Appointment	asignación	Noun
Appointment	cita	Noun
Appointment	consulta	Noun
Appointment	turno	Noun
Appointment's	cita	Noun
Appointment's	compromiso	Noun
Appointment's	hora	Noun
Appreciable	sensible	Noun
Appreciate	agradecemos	Noun
Appreciate	agradecen	Noun
Appreciate	agradecer	Noun
Appreciate	agradecería	Noun
Appreciate	agradecieron	Noun
Appreciate	agradezco	Noun
Appreciate	apreciamos	Noun
Appreciate	aprecian	Noun
Appreciate	apreciar	Noun
Appreciate	apreciaran	Noun
Appreciate	apreciaras	Noun
Appreciate	apreciaron	Noun
Appreciate	apreciarse	Noun
Appreciate	aprecio	Noun
Appreciate	apreció	Noun
Appreciate	disfrutarla	Noun
Appreciate	valoraba	Noun
Appreciating	reconocer	Verb
Appreciation	agradecimiento	Noun
Approach	aborda	Noun
Approach	abordar	Noun
Approach	abordo	Noun
Approach	acceso	Noun
Approach	acercarse	Noun
Approach	aproximación a algo	Noun
Approach	aproximarse	Noun
Approach	de aproximación	Noun
Approach	enfoca	Noun
Approach	enfocar	Noun
Approach	enfoco	Noun
Approach	enfoque	Noun
Approach	pedido	Noun
Approach	petición	Noun
Approach	propuesta	Noun
Approach	solicitud	Noun
Appropriate	adecuado	Noun
Appropriate	apropiado	Noun
Appropriately	adecuadamente	Adverb
Appropriately	apropiadamente	Adverb
Appropriately	bien	Adverb
Appropriately	convenientemente	Adverb
Appropriately	correctamente	Adverb
Approval	aprobación	Noun
Approve	aprobar	Noun
Approve	autorizar	Noun
Approve	votar	Noun
Approve	voto	Noun
Approximate	aproximado	Noun
Approximately	aproximadamente	Adverb
Approximately	más o menos	Adverb
Apricot	el albaricoque	Noun
Apricot	el chabacano	Noun
Apricot	el damasco	Noun
April	abril	Noun
April Fair	la Feria de Abril	Noun
April Fair Horse Parade	el paseo de caballos	Noun
Apron	el delantal	Noun
Apron	un mandil	Noun
Apt	feliz	Noun
Arab	árabe	Noun
Archeologist	arqueólogo	Noun
Archipelago	el archipiélago	Noun
Architect	arquitecta	Noun
Architect	arquitecto	Noun
Architect	artífice	Noun
Architect	elaborar	Noun
Architect	idear	Noun
Architect	un arquitecto	Noun
Architect	una arquitecta	Noun
Architecture	arquitectura	Noun
Architecture	la arquitectura	Noun
Are	cuestan	Noun
Are	eres	Noun
Are	estamos	Noun
Are	estuvieron	Noun
Are	estuviste	Noun
Are	está	Noun
Are	están	Noun
Are	estás	Noun
Are	estén	Noun
Are	estés	Noun
Are	fuiste	Noun
Are	hay	Noun
Are	llegan	Noun
Are	miden	Noun
Are	sea	Noun
Are	sean	Noun
Are	seas	Noun
Are	serás	Noun
Are	somos	Noun
Are	son	Noun
Are	tenemos	Noun
Are	tengan	Noun
Are	tiene	Noun
Are	tienen	Noun
Are	tienes	Noun
Are Aching	duelen	Noun
Are Are Listening To	escuchamos	Noun
Are Being	están siendo	Noun
Are Building	construimos	Noun
Are Buying	compramos	Noun
Are Buying	compran	Noun
Are Choosing	elegimos	Noun
Are Closing	cerramos	Noun
Are Closing	cierran	Noun
Are Closing	cierras	Noun
Are Coming	venimos	Noun
Are Coming	volvemos	Noun
Are Coming Back	vuelves	Noun
Are Drinking	bebe	Noun
Are Eating	comemos	Noun
Are Eating	comen	Noun
Are Eating	comes	Noun
Are Enjoying	disfrutamos	Noun
Are Enjoying	disfrutes	Noun
Are Going	vamos	Noun
Are Going	van	Noun
Are Going	vas	Noun
Are Going Back	volvemos	Noun
Are Going Back	vuelven	Noun
Are Going Back	vuelves	Noun
Are Having Lunch	almorzamos	Noun
Are Having Lunch	almuerzan	Noun
Are Including	incluimos	Noun
Are Interested	interesan	Noun
Are Learning	aprendemos	Noun
Are Learning	aprenden	Noun
Are Leaving	salen	Noun
Are Leaving	salimos	Noun
Are Living	viven	Noun
Are Looking	miramos	Noun
Are Losing	pierden	Noun
Are Missing	falta	Noun
Are Not Being	no están	Noun
Are Not Being	no están siendo	Noun
Are Not Being	no se están	Noun
Are Opening	abren	Noun
Are Opening	abres	Noun
Are Paying For	pagamos	Noun
Are Playing	jugamos	Noun
Are Prominent	figura	Noun
Are Reading	leemos	Noun
Are Reading	leen	Noun
Are Reading	lees	Noun
Are Ready	están listos	Noun
Are Saying	hablan	Noun
Are Seeing	ven	Noun
Are Serving	servimos	Noun
Are Setting	pones	Noun
Are Speaking	habla	Noun
Are Speaking	hablan	Noun
Are Speaking	hablas	Noun
Are Spending	pasamos	Noun
Are Starting	comenzamos	Noun
Are Starting	empezamos	Noun
Are Starting	empiezan	Noun
Are Studying	estudian	Noun
Are Studying	estudias	Noun
Are Talking	hablamos	Noun
Are Talking	hablan	Noun
Are Talking About	hablas	Noun
Are There	hay	Noun
Are There	o sí	Noun
Are There	son	Noun
Are They	o sí	Noun
Are They	son	Noun
Are They	verdad	Noun
Are They Drinking	beben	Noun
Are Thinking	pensamos	Noun
Are Traveling	viajamos	Noun
Are Trying	probamos	Noun
Are Trying	prueban	Noun
Are Using	usa	Noun
Are Using	usan	Noun
Are Using	usas	Noun
Are Walking	caminamos	Noun
Are Wasting	pierdes	Noun
Are Watching	ven	Noun
Are We	estamos	Noun
Are We Buying	compramos	Noun
Are We Choosing	elegimos	Noun
Are We Taking	tomamos	Noun
Are Wearing	usan	Noun
Are Wearing	usas	Noun
Are Working	trabaja	Noun
Are Working	trabajan	Noun
Are Writing	escriben	Noun
Are You	está	Noun
Are You	estás	Noun
Are You	o sí	Noun
Are You	tenés	Noun
Are You	tiene	Noun
Are You	tienen	Noun
Are You	tienes	Noun
Are You	verdad	Noun
Are You Buying	compra	Noun
Are You Coming Back	vuelve	Noun
Are You Doing	hacen	Noun
Are You Doing	haces	Noun
Are You Eating	comen	Noun
Are You Familiar With	conoces	Noun
Are You Following	entienden	Noun
Are You Giving	das	Noun
Are You Going	van	Noun
Are You Going	vas	Noun
Are You Going Back	vuelven	Noun
Are You Having Lunch	almuerzas	Noun
Are You Learning	aprenden	Noun
Are You Learning	aprendes	Noun
Are You Leaving	salen	Noun
Are You Leaving	van	Noun
Are You Making	hace	Noun
Are You Making	haces	Noun
Are You Open	abre	Noun
Are You Returning	vuelve	Noun
Are You Saying	dices	Noun
Are You Still	sigues	Noun
Are You Trying	pruebas	Noun
Are You Trying On	prueba	Noun
Are You Using	usa	Noun
Are You Using	usando	Noun
Are You Using	usas	Noun
Are You Working	trabajas	Noun
Are You Writing	escribe	Noun
Are You Writing	escribes	Noun
Area	centro	Noun
Area	ramo	Noun
Area	región	Noun
Area	zona	Noun
Area	área	Noun
Area's	lugar	Noun
Area's	zona	Noun
Area's	área	Noun
Aren't	llevar	Noun
Aren't	no están	Noun
Aren't	no estás	Noun
Aren't Being	eres	Noun
Aren't There	verdad	Noun
Aren't You	no está	Noun
Aren't You	no estás	Noun
Aren't You	verdad	Noun
Arena	arena	Noun
Argue	alegar	Noun
Argue	alegaremos	Noun
Argue	argumentan	Noun
Argue	argumentar	Noun
Argue	argumentaré	Noun
Argue	argüir	Noun
Argue	debatir	Noun
Argue	discuta	Noun
Argue	discutamos	Noun
Argue	discutas	Noun
Argue	discuten	Noun
Argue	discutiera	Noun
Argue	discutimos	Noun
Argue	discutir	Noun
Argue	discutiste	Noun
Argue	discuto	Noun
Argue	discutía	Noun
Argue	discutíamos	Noun
Argue	disputando	Noun
Argue	exponer	Noun
Argue	peleaban	Noun
Argue	pelearán	Noun
Argue	peleáramos	Noun
Argue	presentar	Noun
Argue	reñir	Noun
Argue	sostener	Noun
Argue	sugerir	Noun
Arguing	discutir	Verb
Argument	argumento	Noun
Argument	discusión	Noun
Arise	presentar	Noun
Arise	presente	Noun
Arm	brazo	Noun
Arm	el brazo	Noun
Armchair	sillón	Noun
Army	ejército	Noun
Army	legión	Noun
Army	militar	Noun
Aroma	el aroma	Noun
Aromas	perfume	Noun
Aromatherapy	la aromaterapia	Noun
Around	alrededor	Noun
Around	aproximadamente	Noun
Around	calderera	Noun
Around	hojalatero	Noun
Around	más o menos	Noun
Around	pilluela	Noun
Around	por	Noun
Around	sobre	Noun
Around Noon	alrededor del mediodía	Noun
Arouse	causa	Noun
Arouse	levantarse	Noun
Aroused	me desperté	Verb
Arouses	causa	Noun
Arrange	acomoda	Noun
Arrange	acomodar	Noun
Arrange	acomodes	Noun
Arrange	arreglan	Noun
Arrange	arreglar	Noun
Arrange	arreglo	Noun
Arrange	colocadas	Noun
Arrange	colocara	Noun
Arrange	concierto	Noun
Arrange	configure	Noun
Arrange	ordenar	Noun
Arrange	ordenemos	Noun
Arrange	organicen	Noun
Arrange	organizar	Noun
Arrange	organizara	Noun
Arrange	organizará	Noun
Arrange	planifiques	Noun
Arrange	preparemos	Noun
Arrange	prepares	Noun
Arrange	programados	Noun
Arrange In Series	serio	Noun
Arrangement	arreglo	Noun
Arrangement	disposición	Noun
Arrangement	planes	Noun
Arrest	arresta	Noun
Arrest	arrestan	Noun
Arrest	arrestar	Noun
Arrest	arrestaran	Noun
Arrest	arrestarlo	Noun
Arrest	arrestarme	Noun
Arrest	arrestarte	Noun
Arrest	arrestemos	Noun
Arrest	arresten	Noun
Arrest	arresto	Noun
Arrest	arrestó	Noun
Arrest	ataja	Noun
Arrest	atajan	Noun
Arrest	atajar	Noun
Arrest	atrae	Noun
Arrest	atraen	Noun
Arrest	atraer	Noun
Arrest	capturar	Noun
Arrest	detención	Noun
Arrest	detener	Noun
Arrest	detengo	Noun
Arrest	detiene	Noun
Arrest	detienen	Noun
Arrest	detienes	Noun
Arrest	detuviera	Noun
Arrest	detuvieran	Noun
Arrest	detuvieron	Noun
Arrest	dificulta	Noun
Arrest	dificultan	Noun
Arrest	dificultar	Noun
Arrest	dificulto	Noun
Arrested	atajar	Verb
Arrested	atraer	Verb
Arrival	arribo	Noun
Arrival	llegada	Noun
Arrivals	llegada	Noun
Arrive	llega	Noun
Arrive	llegamos	Noun
Arrive	llegan	Noun
Arrive	llegando	Noun
Arrive	llegar	Noun
Arrive	llegara	Noun
Arrive	llegaran	Noun
Arrive	llegaron	Noun
Arrive	llegaría	Noun
Arrive	llegarías	Noun
Arrive	llegas	Noun
Arrive	llegaste	Noun
Arrive	llego	Noun
Arrive	llegue	Noun
Arrive	lleguen	Noun
Arrive	llegues	Noun
Arrive	llegué	Noun
Arrive	llegó	Noun
Arrive	nacemos	Noun
Arrive	nacen	Noun
Arrive	nacer	Noun
Arrive	triunfamos	Noun
Arrive	triunfar	Noun
Arrive	triunfaremos	Noun
Arrive	triunfará	Noun
Arrive	triunfó	Noun
Arrive	venga	Noun
Arrive	vengan	Noun
Arrive	vengas	Noun
Arrive	venimos	Noun
Arrive	venir	Noun
Arrive	viniera	Noun
Arrived	llegaba	Verb
Arrived	llegabas	Verb
Arrived	llegada	Verb
Arrived	llegado	Verb
Arrived	llegamos	Verb
Arrived	llegar	Verb
Arrived	llegara	Verb
Arrived	llegaras	Verb
Arrived	llegaron	Verb
Arrived	llegaría	Verb
Arrived	llegaste	Verb
Arrived	llegué	Verb
Arrived	llegó	Verb
Arrived	nacer	Verb
Arrived	triunfar	Verb
Arrived	triunfaremos	Verb
Arrived	triunfará	Verb
Arrived	triunfó	Verb
Arrived	vine	Verb
Arrived	vinimos	Verb
Arrived	viniste	Verb
Arrived	vino	Verb
Arrives	llega	Noun
Arrives	llegue	Noun
Arrives	lleguen	Noun
Arriving	llegaban	Verb
Arriving	llegando	Verb
Arriving	llegar	Verb
Arrogant	arrogante	Noun
Arrow	flecha	Noun
Art	arte	Noun
Art	el arte	Noun
Art Gallery	la galería de arte	Noun
Art-House Film	el cine de autor	Noun
Article	articulo	Noun
Article	artículo	Noun
Article	objeto	Noun
Article	reportaje	Noun
Articles	artículo	Noun
Articles	objeto	Noun
Artificial	artificial	Noun
Artificial Satellite	el satélite artificial	Noun
Artist	artista	Noun
Artist	pintor	Noun
Artistic	artístico	Noun
Arts	cultura	Noun
Arts	letra	Noun
As A Child	de niña	Noun
As A Child	de niño	Noun
As A Little Girl	de niña	Noun
As A Young Girl	de niña	Noun
As Far As I'm Concerned	en lo que a mí respecta	Noun
As Far As I'm Concerned	por mí	Noun
As I Was Saying	como decía	Noun
As Many	tanta	Noun
As Many	tantas	Noun
As Many	tantos	Noun
As Much As	por más que	Adjective
As Much As	tanto	Adjective
As Soon As	apenas	Adjective
As Soon As	nada más	Adjective
As Soon As	no más	Adjective
As Soon As	recién	Adjective
As Soon As	según	Adjective
As Well	también	Noun
As Well As	además	Adjective
As Well As	además de	Adjective
As Well As	así como	Adjective
Ash Wednesday	el Miércoles de Ceniza	Noun
Asia	Asia	Noun
Asian	asiática	Noun
Asian	asiáticas	Noun
Asian	asiático	Noun
Asian	asiáticos	Noun
Aside From	a excepción de	Noun
Aside From	pesar	Noun
Ask	cuestionan	Noun
Ask	hacemos	Noun
Ask	hacer	Noun
Ask	haga	Noun
Ask	hagan	Noun
Ask	hagas	Noun
Ask	hago	Noun
Ask	hiciera	Noun
Ask	invitar	Noun
Ask	invitaría	Noun
Ask	invitas	Noun
Ask	invitaste	Noun
Ask	ordenamos	Noun
Ask	pedimos	Noun
Ask	pedir	Noun
Ask	pedirle	Noun
Ask	pedirles	Noun
Ask	pedirán	Noun
Ask	pediste	Noun
Ask	pedí	Noun
Ask	pidas	Noun
Ask	pide	Noun
Ask	pides	Noun
Ask	pidieron	Noun
Ask	pidió	Noun
Ask	pido	Noun
Ask	pregunta	Noun
Ask	preguntamos	Noun
Ask	preguntan	Noun
Ask	preguntar	Noun
Ask	preguntaras	Noun
Ask	preguntarle	Noun
Ask	preguntarles	Noun
Ask	preguntaron	Noun
Ask	preguntaré	Noun
Ask	preguntaría	Noun
Ask	preguntas	Noun
Ask	preguntaste	Noun
Ask	pregunte	Noun
Ask	preguntemos	Noun
Ask	pregunten	Noun
Ask	preguntes	Noun
Ask	pregunto	Noun
Ask	pregúntale	Noun
Ask	pregúntele	Noun
Ask	pregúnteles	Noun
Ask	pregúntesela	Noun
Ask	pregúnteselas	Noun
Ask	pregúnteselo	Noun
Ask	pídale	Noun
Ask	pídasela	Noun
Ask	pídaselos	Noun
Ask	pídele	Noun
Ask	pídelo	Noun
Ask	pídeselo	Noun
Ask	pídeselos	Noun
Ask For	pedimos	Noun
Ask For	pedir	Noun
Ask For	pedís	Noun
Ask For	pidamos	Noun
Ask For	pidan	Noun
Ask For	pidas	Noun
Ask For	pídele	Noun
Ask For	solicitar	Noun
Ask Her	pregúntele	Noun
Ask Her	pregúnteselo	Noun
Ask Her For	pídele	Noun
Ask Her For It	pídaselo	Noun
Ask Her For It	pídeselo	Noun
Ask Him	pregúntele	Noun
Ask Him	pregúnteselo	Noun
Ask Him For	pídele	Noun
Ask Him For It	pídaselo	Noun
Ask Him For It	pídeselo	Noun
Asked	hice	Verb
Asked	hicieron	Verb
Asked	hicimos	Verb
Asked	hiciste	Verb
Asked	hizo	Verb
Asked	invitaba	Verb
Asked	invitaría	Verb
Asked	invitaste	Verb
Asked	invitó	Verb
Asked	pedido	Verb
Asked	pedimos	Verb
Asked	pediste	Verb
Asked	pedí	Verb
Asked	pedía	Verb
Asked	pidiera	Verb
Asked	pidieran	Verb
Asked	pidieron	Verb
Asked	pidiéramos	Verb
Asked	pidió	Verb
Asked	preguntado	Verb
Asked	preguntamos	Verb
Asked	preguntaron	Verb
Asked	preguntaste	Verb
Asked	pregunté	Verb
Asked	preguntó	Verb
Asked For	ordenado	Noun
Asked For	pedido	Noun
Asked For	pedimos	Noun
Asked For	pidió	Noun
Asked Her Who Had	le pregunté quién había reservado	Noun
Asked Her Who Had	le pregunté quién le había dado	Noun
Asked Her Who Had	le preguntó quién había	Noun
Asked Her Who Had	le preguntó quién poseía	Noun
Asked Her Who Had	le preguntó quién tenía	Noun
