English	Chinese	Pinyin	Part of Speech
Although	尽管	jǐn guǎn	Verb
Although	既然	jìrán	Verb
Although	虽	suī	Verb
Although	虽然	suī rán	Verb
Although… But…	虽然……但是……	suīrán…dànshì…	Noun
Altitude	海拔	hǎibá	Noun
Altogether	一共	yī gòng	Noun
Alumnus	校友	xiào yǒu	Noun
Always	一向	yī xiàng	Adverb
Always	一直	yī zhí	Adverb
Always	从来	cónglái	Adverb
Always	历来	lìlái	Adverb
Always	向来	xiànglái	Adverb
Always	总	zǒng	Adverb
Always	总是	zǒng shì	Adverb
Always	时时	shí shí	Adverb
Always	永远	yǒng yuǎn	Adverb
Always Used To	总是过去常常	zǒng shì guò qù cháng cháng	Noun
Am	叫	jiào	Verb
Am	吗	ma	Verb
Am	在	zài	Verb
Am	就是	jiù shì	Verb
Am	很	hěn	Verb
Am	是	shì	Verb
Am Sitting	坐	zuò	Noun
Amateur	业余	yè yú	Noun
Amazed	惊奇的	jīng qí de	Verb
Amazing	不可思议	bùkěsīyì	Adjective
Amazing	了不起	le bù qǐ	Adjective
Amazing	令人惊叹的	lìng rén jīng tàn de	Adjective
Amazing	使大为吃惊	shǐ dà wèi chī jīng	Adjective
Amazing	哇塞	wā sāi	Adjective
Amazing	太棒了	tài bàng le	Adjective
Amazing	奇妙	qí miào	Adjective
Amazing	好吃的	hǎo chī de	Adjective
Amazing	很棒	hěn bàng	Adjective
Amazing	很棒的	hěn bàng de	Adjective
Amazing	惊人	jīng rén	Adjective
Amazing	惊艳	jīng yàn	Adjective
Amazing	棒	bàng	Adjective
Amazing	神奇	shén qí	Adjective
Amazing	精彩	jīng cǎi	Adjective
Amazing	超棒	chāo bàng	Adjective
Amazing	非常好	fēi cháng hǎo	Adjective
Amazing	非常好看	fēi cháng hǎo kàn	Adjective
Amazing	非常棒	fēi cháng bàng	Adjective
Amazingly	令人惊讶地	lìng rén jīng yà dì	Adverb
Ambiguous	暧昧	àimèi	Adjective
Ambition	志气	zhìqì	Noun
Ambition	抱负	bào fù	Noun
Ambition	野心	yěxīn	Noun
Ambitious	志向远大的	zhì xiàng yuǎn dà de	Noun
Ambulance	救护车	jiù hù chē	Noun
Ambush	埋伏	máifú	Noun
Ameliorate	变好	biàn hǎo	Noun
Amend	改正	gǎi zhèng	Noun
Amerce	罚款	fákuǎn	Noun
America	美国	měi guó	Noun
American	美国	měi guó	Noun
American	美国人	měi guó rén	Noun
American	美国的	měi guó de	Noun
American	美式	měi shì	Noun
American Dream	美国梦	měi guó mèng	Noun
Amiss	不对劲儿	bù duì jìn ér	Noun
Among	中间	zhōng jiān	Preposition
Among	其中	qízhōng	Preposition
Among	其间	qí jiān	Preposition
Among	在内	zài nèi	Preposition
Among	当中	dāng zhōng	Preposition
Among	裡	lǐ	Preposition
Among	里	lǐ	Preposition
Amount	份量	fèn liàng	Noun
Amount	分量	fēn liàng	Noun
Amount	数额	shù’é	Noun
Amount	款项	kuǎn xiàng	Noun
Amount	程度	chéngdù	Noun
Amount	量	liàng	Noun
Amount	金额	jīn é	Noun
Amount	额	é	Noun
Amount	额度	é dù	Noun
Ample	充足	chōng zú	Noun
Amusement Park	游乐园	yóu lè yuán	Noun
Amusement Park	游乐场	yóu lè chǎng	Noun
An	一	yī	Noun
An	一个	yí gè	Noun
An	一件	yī jiàn	Noun
An	一份	yī fèn	Noun
An	一只	yī zhī	Noun
An	一台	yī tái	Noun
An	一名	yī míng	Noun
An	一场	yī cháng	Noun
An	一块	yī kuài	Noun
An	一家	yī jiā	Noun
An	一封	yī fēng	Noun
An	一座	yī zuò	Noun
An	一张	yī zhāng	Noun
An	一把	yī bǎ	Noun
An	一本	yī běn	Noun
An	一条	yī tiáo	Noun
An	一杯	yī bēi	Noun
An	一棵	yī kē	Noun
An	一次	yī cì	Noun
An	一篇	yī piān	Noun
An	一节	yī jié	Noun
An	一辆	yī liàng	Noun
An	一道	yī dào	Noun
An	一部	yī bù	Noun
An	一门	yī mén	Noun
An	一间	yī jiān	Noun
An	一顿	yī dùn	Noun
An	一首	yī shǒu	Noun
An	个	gè	Noun
An Error	失误	shīwù	Noun
An Open Mind	开放的心态	kāi fàng de xīn tài	Noun
Analysis	分析	fēnxī	Verb
Analyze	分析	fēn xī	Noun
Anatomy	解剖	jiěpōu	Noun
Ancestor	祖先	zǔ xiān	Noun
Ancestors	祖先	zǔxiān	Noun
Anchor	停泊	tíngbó	Noun
Ancient	古代	gǔ dài	Adjective
Ancient	古老	gǔ lǎo	Adjective
Ancient	古老的	gǔ lǎo de	Adjective
And	与	yǔ	Conjunction
And	且	qiě	Conjunction
And	也	yě	Conjunction
And	于是	yú shì	Conjunction
And	以及	yǐ jí	Conjunction
And	加上	jiā shàng	Conjunction
And	又	yòu	Conjunction
And	及	jí	Conjunction
And	另加	lìng jiā	Conjunction
And	和	hé	Conjunction
And	外加	wài jiā	Conjunction
And	好	hǎo	Conjunction
And	并	bìng	Conjunction
And	并且	bìng qiě	Conjunction
And	既	jì	Conjunction
And	既有	jì yǒu	Conjunction
And	然后	rán hòu	Conjunction
And	而	ér	Conjunction
And	而且	ér qiě	Conjunction
And	跟	gēn	Conjunction
And	还	hái	Conjunction
And	还有	hái yǒu	Conjunction
And	那么	nà me	Conjunction
And Also	并且	bìng qiě	Noun
And Had	并且	bìng qiě	Noun
And Had	并且已经	bìng qiě yǐ jīng	Noun
And That's It	就是了	jiù shì le	Noun
And Then	进而	jìn’ér	Adjective
And You	你呢	nǐ ne	Noun
Anesthetize	麻醉	má zuì	Noun
Angel	天使	tiān shǐ	Noun
Anger	愤怒	fènnù	Verb
Angle	角度	jiǎo dù	Noun
Angry	恼火	nǎohuǒ	Adjective
Angry	愤怒	fèn nù	Adjective
Angry	生......的气了	shēng ...... de qì le	Adjective
Angry	生气	shēng qì	Adjective
Angry	生气的	shēng qì de	Adjective
Angry That	生气因为	shēng qì yīn wèi	Noun
Animal	动物	dòng wù	Noun
Animal	牲	shēng	Noun
Animal Husbandry	畜牧	xùmù	Noun
Animated	动画	dòng huà	Verb
Animation	动画	dòng huà	Noun
Ankle	脚踝	jiǎo huái	Noun
Ankle	踝	huái	Noun
Anna	但安娜	dàn ān nà	Noun
Anna	娜	nà	Noun
Anna	安娜	ān nà	Noun
Anniversary	周年	zhōu nián	Noun
Anniversary	周年纪念日	zhōu nián jì niàn rì	Noun
Anniversary	纪念日	jì niàn rì	Noun
Annotation	注释	zhùshì	Noun
Announce	介绍	jiè shào	Verb
Announce	公布	gōng bù	Verb
Announce	宣布	xuān bù	Verb
Announcement	告示	gào shì	Noun
Announcement	声明	shēng míng	Noun
Announcement	广播	guǎng bō	Noun
Announcement	通报	tōng bào	Noun
Announcement	通知	tōng zhī	Noun
Annoy	吵到	chǎo dào	Noun
Annoy	困扰	kùn rǎo	Noun
Annoy	得罪	dé zuì	Noun
Annoy	恼火	nǎohuǒ	Noun
Annoy	惹	rě	Noun
Annoy	惹恼	rě nǎo	Noun
Annoy	捉弄	zhuō nòng	Noun
Annoy	烦扰	fán rǎo	Noun
Annoyance	烦恼	fánnǎo	Noun
Annoyed	很恼火	hěn nǎo huǒ	Verb
Annoying	烦	fán	Verb
Annoying	烦人的	fán rén de	Verb
Annual	年	nián	Noun
Annual	年度	nián dù	Noun
Annual	年度的	nián dù de	Noun
Annual Pass	年卡	nián kǎ	Noun
Anonymity	匿名	nì míng	Noun
Anonymous	匿名	nì míng	Noun
Anonymously	匿名	nì míng	Adverb
Another	人则	rén zé	Noun
Another	再	zài	Noun
Another	再有	zài yǒu	Noun
Another	再来	zài lái	Noun
Another	再来一份	zài lái yī fèn	Noun
Another	再来一杯	zài lái yī bēi	Noun
Another	另一	lìng yī	Noun
Another	另一个	lìng yí gè	Noun
Another	另一份	lìng yī fèn	Noun
Another	另一只	lìng yī zhī	Noun
Another	另一名	lìng yī míng	Noun
Another	另一条	lìng yī tiáo	Noun
Another	另一种	lìng yī zhǒng	Noun
Another	另一门	lìng yī mén	Noun
Another	另外	lìng wài	Noun
Another	另外的	lìng wài de	Noun
Another Day	改天	gǎi tiān	Noun
Another Place	外地	wài de	Noun
Another Thing	另一件事	lìng yī jiàn shì	Noun
Answer	回答	huí dá	Verb
Answer	接	jiē	Verb
Answer	答	dá	Verb
Answer	答案	dá àn	Verb
Answer	答辩	dábiàn	Verb
Answer	解决办法	jiě jué bàn fǎ	Verb
Answered	回答	huí dá	Verb
Answered	接	jiē	Verb
Answering	回答	huí dá	Verb
Answers	回答	huí dá	Noun
Ant	蚂蚁	mǎ yǐ	Noun
Antagonize	敌视	díshì	Preposition
Antarctic	南极	nán jí	Noun
Antarctica	南极	nán jí	Noun
Antibiotic	抗生素	kàng shēng sù	Noun
Anticipate	意料	yìliào	Verb
Anticipate	预期	yùqī	Verb
Anticipated	有望	yǒu wàng	Verb
Anticipated	预计	yù jì	Verb
Anticipated	预计了	yù jì le	Verb
Antique	古董	gǔdǒng	Noun
Antique	古董的	gǔ dǒng de	Noun
Antithetical Couplet	对联	duìlián	Noun
Anxious	焦急	jiāojí	Adjective
Anxious	焦虑	jiāo lǜ	Adjective
Anxious	焦虑的	jiāo lǜ de	Adjective
Anxious	着急	zhe jí	Adjective
Any	什么	shén me	Noun
Any	任	rèn	Noun
Any	任一	rèn yī	Noun
Any	任何	rèn hé	Noun
Any	任何一个	rèn hé yí gè	Noun
Any	任何的	rèn hé de	Noun
Any	任何都	rèn hé dōu	Noun
Any	任意	rènyì	Noun
Any	何	hé	Noun
Any	凡是	fánshì	Noun
Any	某一	mǒu yī	Noun
Any	某种	mǒu zhǒng	Noun
Any	都行	dōu xíng	Noun
Any Chance	有可能	yǒu kě néng	Noun
Any Longer	了	le	Noun
Any Menace From The “rear	后顾之忧	hòugùzhīyōu	Noun
Any Time	随时	suí shí	Noun
Anybody	任何人	rèn hé rén	Noun
Anybody	任何人都	rèn hé rén dōu	Noun
Anybody	有人	yǒu rén	Noun
Anyhow	不管怎样	bù guǎn zěn yàng	Noun
Anyhow	随随便便地	suí suí biàn biàn dì	Noun
Anymore	不下	bù xià	Noun
Anymore	不再	bù zài	Noun
Anymore	了	le	Noun
Anymore	再也	zài yě	Noun
Anyone	任	rèn	Noun
Anyone	任何人	rèn hé rén	Noun
Anyone	有人	yǒu rén	Noun
Anyone Else	别人	bié rén	Noun
Anything	东西	dōng xī	Verb
Anything	什么	shén me	Verb
Anything	任	rèn	Verb
Anything	任何	rèn hé	Verb
Anything	任何事	rèn hé shì	Verb
Anytime	随时	suí shí	Noun
Anyway	不管怎么	bù guǎn zěn me	Adverb
Anyway	不管怎样	bù guǎn zěn yàng	Adverb
Anyway	反正	fǎnzhèng	Adverb
Anyway	总之	zǒng zhī	Adverb
Anyway	无论如何	wú lùn rú hé	Adverb
Anyway	照样	zhàoyàng	Adverb
Anyway	起码	qǐ mǎ	Adverb
Anyway	还是	hái shì	Adverb
Anywhere	任何地方	rèn hé dì fāng	Noun
Apart	除了	chú le	Noun
Apart From	除了	chú le	Noun
Apartment	公寓	gōng yù	Noun
Apartment	套房	tào fáng	Noun
Apartment	套间	tào jiān	Noun
Apartment	寓	yù	Noun
Apartment	间房	jiān fáng	Noun
Apartment Building	公寓楼	gōng yù lóu	Noun
Apiece	每个	měi gè	Noun
Apologies	抱歉	bào qiàn	Noun
Apologize	道歉	dào qiàn	Verb
Apology	道歉	dào qiàn	Noun
Apparently	显然	xiǎn rán	Adverb
Apparently	看来	kàn lái	Adverb
Appeal	呼吁	hūyù	Noun
Appealing	令人感兴趣的	lìng rén gǎn xìng qù de	Verb
Appealing	可怜的	kě lián de	Verb
Appealing	有吸引力的	yǒu xī yǐn lì de	Verb
Appear	出版	chū bǎn	Noun
Appear	出现	chū xiàn	Noun
Appear	显得	xiǎnde	Noun
Appearance	外表	wài biǎo	Noun
Appearance	外貌	wài mào	Noun
Appearance	容貌	róngmào	Noun
Appearance	样子	yàng zi	Noun
Appearance	模样	múyàng	Noun
Appetite	没胃口	méi wèi kǒu	Noun
Appetite	胃口	wèi kǒu	Noun
Appetizer	前菜	qián cài	Noun
Applaud	鼓掌	gǔ zhǎng	Noun
Applauding	鼓掌	gǔ zhǎng	Verb
Applause	掌声	zhǎng shēng	Noun
Applause	鼓掌	gǔ zhǎng	Noun
Apple	苹果	píng guǒ	Noun
Appliance	电器	diàn qì	Noun
Applicant	申请人	shēn qǐng rén	Noun
Application	应用	yīng yòng	Noun
Application	申请	shēn qǐng	Noun
Application	申请表	shēn qǐng biǎo	Noun
Application	运用	yùnyòng	Noun
Applications	申请	shēn qǐng	Noun
Applied	申请	shēn qǐng	Verb
Applies	申请	shēn qǐng	Noun
Apply	上化	shàng huà	Verb
Apply	上涂	shàng tú	Verb
Apply	上药	shàng yào	Verb
Apply	会涂	huì tú	Verb
Apply	加以	jiā yǐ	Verb
Apply	化得	huà dé	Verb
Apply	实施	shí shī	Verb
Apply	应用	yīng yòng	Verb
Apply	擦点	cā diǎn	Verb
Apply	敷	fū	Verb
Apply	敷点	fū diǎn	Verb
Apply	涂抹	túmǒ	Verb
Apply	添上	tiān shàng	Verb
Apply	用里	yòng lǐ	Verb
Apply	申	shēn	Verb
Apply	申请	shēn qǐng	Verb
Apply	运用	yùnyòng	Verb
Apply For	办	bàn	Verb
Apply For	应聘	yìngpìn	Verb
Apply For Renewal	续借	xù jiè	Noun
Applying	申请	shēn qǐng	Verb
Appoint	指定	zhǐdìng	Verb
Appointment	任命	rènmìng	Noun
Appointment	会要	huì yào	Noun
Appointment	会面	huì miàn	Noun
Appointment	挂号	guà hào	Noun
Appointment	约	yuē	Noun
Appointment	约会	yuē huì	Noun
Appointment	约定	yuē dìng	Noun
Appointment	邀约	yāo yuē	Noun
Appointment	预约	yù yuē	Noun
Appointments	预约	yù yuē	Noun
Appraisal	鉴定	jiàndìng	Noun
Appreciate	感激	gǎn jī	Verb
Appreciate	感谢	gǎn xiè	Verb
Appreciate	欣赏	xīn shǎng	Verb
Appreciated	感谢	gǎn xiè	Verb
Appreciation	欣赏	xīn shǎng	Noun
Apprehend	抓	zhuā	Noun
Apprentice	徒弟	túdì	Noun
Approach	临	lín	Noun
Approach	临上	lín shàng	Noun
Approach	临近	lín jìn	Noun
Approach	作风	zuòfēng	Noun
Approach	凑近	còu jìn	Noun
Approach	开上来	kāi shàng lái	Noun
Approach	开近	kāi jìn	Noun
Approach	思路	sī lù	Noun
Approach	战术	zhàn shù	Noun
Approach	技法	jì fǎ	Noun
Approach	挨	ái	Noun
Approach	挪近	nuó jìn	Noun
Approach	接近	jiē jìn	Noun
Approach	提法	tí fǎ	Noun
Approach	攻略	gōng lüè	Noun
Approach	来临	lái lín	Noun
Approach	步入	bù rù	Noun
Approach	爬来	pá lái	Noun
Approach	端到	duān dào	Noun
Approach	走向	zǒu xiàng	Noun
Approach	走来	zǒu lái	Noun
Approach	迎来	yíng lái	Noun
Approach	逼近	bī jìn	Noun
Approach	靠拢	kàolǒng	Noun
Approach	靠近	kào jìn	Noun
Approaching	靠近	kào jìn	Verb
Appropriate	合适	hé shì	Verb
Appropriate	妥当	tuǒdang	Verb
Appropriate	恰当	qià dāng	Verb
Appropriate	适当	shì dāng	Verb
Appropriate Amount	适量	shì liàng	Noun
Appropriately	合适地	hé shì dì	Adverb
Appropriately	恰当地	qià dàng dì	Adverb
Approval	批准	pīzhǔn	Noun
Approval	赞同	zàn tóng	Noun
Approval Rating	支持率	zhī chí lǜ	Noun
Approve	批准	pī zhǔn	Noun
Approve	点赞	diǎn zàn	Noun
Approve	认可	rèn kě	Noun
Approves	允许	yǔn xǔ	Noun
Approves	批准	pī zhǔn	Noun
Approximate	大概的	dà gài de	Noun
Approximately	大概	dà gài	Adverb
Approximately	大约	dà yuē	Adverb
Approximately	大致	dà zhì	Adverb
April	4月	4 yuè	Noun
April	4月份	4 yuè fèn	Noun
April	四月	sì yuè	Noun
April	四月份	sì yuè fèn	Noun
Arbitrarily	任意	rènyì	Adverb
Archaeology	考古	kǎogǔ	Noun
Archeologist	考古学家	kǎo gǔ xué jiā	Noun
Architect	建筑师	jiàn zhù shī	Noun
Architecture	建筑	jiànzhù	Noun
Architecture	建筑风格	jiàn zhù fēng gé	Noun
Archives	档案	dàng’àn	Noun
Arctic	北极	běijí	Adjective
Ardently Love	热爱	rè’ài	Verb
Arduous	艰巨	jiānjù	Adjective
Are	吗	ma	Verb
Are	在	zài	Verb
Are	就是	jiù shì	Verb
Are	很	hěn	Verb
Are	是	shì	Verb
Are	正在	zhèng zài	Verb
Are	被	bèi	Verb
Are	都	dōu	Verb
Are Afraid Of	害	hài	Noun
Are Being	正在是	zhèng zài shì	Noun
Are In	在	zài	Noun
Are Not	不	bù	Noun
Are Not Being	没有被	méi yǒu bèi	Noun
Are There	有	yǒu	Noun
Are There	有吗	yǒu ma	Noun
Are There	有没有	yǒu méi yǒu	Noun
Area	一带	yī dài	Noun
Area	区域	qū yù	Noun
Area	区能	qū néng	Noun
Area	地区	de qū	Noun
Area	地域	dì yù	Noun
Area	地段	dì duàn	Noun
Area	方圆	fāngyuán	Noun
Area	灾区	zāi qū	Noun
Area	片区	piàn qū	Noun
Area	部位	bùwèi	Noun
Area	面积	miàn jī	Noun
Aren't	不	bù	Noun
Aren't	不会	bú huì	Noun
Aren't	不在	bù zài	Noun
Aren't	不是	bú shì	Noun
Aren't	没	méi	Noun
Aren't	没有	méi yǒu	Noun
Aren't Interesting	没意思	méi yì sī	Noun
Argentina	阿根廷	ā gēn tíng	Noun
Argue	争论	zhēnglùn	Noun
Argue	争辩	zhēng biàn	Noun
Argue	吵	chǎo	Noun
Argue	吵个	chǎo gè	Noun
Argue	吵些	chǎo xiē	Noun
Argue	吵起	chǎo qǐ	Noun
Argue	吵过	chǎo guò	Noun
Argue	嚷嚷	rāng rang	Noun
Argue	地吵	dì chǎo	Noun
Argue	计较	jì jiào	Noun
Argue	议论	yìlùn	Noun
Argue	辨	biàn	Noun
Argue	辩护	biànhù	Noun
Argue	辩称	biàn chēng	Noun
Argue	辩解	biànjiě	Noun
Argument	争吵	zhēng chǎo	Noun
Argument	争执	zhēng zhí	Noun
Argument	争论	zhēnglùn	Noun
Argument	事吵	shì chǎo	Noun
Argument	大吵	dà chǎo	Noun
Argument	纷争	fēn zhēng	Noun
Argument	论点	lùn diǎn	Noun
Argument	论证	lùnzhèng	Noun
Argument	说法	shuō fǎ	Noun
Arm	手臂	shǒu bì	Noun
Arm	胳膊	gē bó	Noun
Arm	臂	bì	Noun
Armchair	扶手椅	fú shǒu yǐ	Noun
Armed Forces	武装	wǔzhuāng	Noun
Arms	武器	wǔqì	Noun
Army	兵	bīng	Noun
Army	军	jūn	Noun
Army	军用	jūn yòng	Noun
Army	军队	jūn duì	Noun
Army	大军	dà jūn	Noun
Army	部队	bù duì	Noun
Army	陆军	lù jūn	Noun
Aroma	香味	xiāng wèi	Noun
Around	中约	zhōng yuē	Adverb
Around	到处	dào chù	Adverb
Around	前后	qián hòu	Adverb
Around	半左右	bàn zuǒ yòu	Adverb
Around	周围	zhōu wéi	Adverb
Around	四周	sì zhōu	Adverb
Around	四处	sì chù	Adverb
Around	围	wéi	Adverb
Around	围着	wéi zhe	Adverb
Around	围绕	wéirào	Adverb
Around	左右	zuǒ yòu	Adverb
Around	差不多	chà bù duō	Adverb
Around	环游	huán yóu	Adverb
Around	绕	rào	Adverb
Around	绕着	rào zhe	Adverb
Around	附近	fù jìn	Adverb
Around Here	这附近	zhè fù jìn	Noun
Around The World	环游世界	huán yóu shì jiè	Noun
Arouse	激起	jī qǐ	Noun
Arrange	会定	huì dìng	Verb
Arrange	你列	nǐ liè	Verb
Arrange	办个	bàn gè	Verb
Arrange	包办	bāo bàn	Verb
Arrange	安排	ān pái	Verb
Arrange	定个	dìng gè	Verb
Arrange	布置	bù zhì	Verb
Arrange	我定	wǒ dìng	Verb
Arrange	挑个	tiāo gè	Verb
Arrange	排定	pái dìng	Verb
Arrange	搭配	dāpèi	Verb
Arrange	摆在	bǎi zài	Verb
Arrange	摆放	bǎi fàng	Verb
Arrange	敲定	qiāo dìng	Verb
Arrange	整架	zhěng jià	Verb
Arrange	整理	zhěng lǐ	Verb
Arrange	整给	zhěng gěi	Verb
Arrange	来列	lái liè	Verb
Arrange	筹划	chóu huà	Verb
Arrange	筹办	chóu bàn	Verb
Arrange	筹备	chóubèi	Verb
Arrange	而设	ér shè	Verb
Arrange	订好	dìng hǎo	Verb
Arrange	说好	shuō hǎo	Verb
Arrange	陈	chén	Verb
Arrange	陈列	chénliè	Verb
Arrange	预备	yù bèi	Verb
Arrange For	安置	ānzhì	Preposition
Arranged Date	相亲	xiāng qīn	Noun
Arrangement	分布	fēnbù	Noun
Arrangement	安排	ān pái	Noun
Arrangement	层次	céngcì	Noun
Arrangement	布局	bù jú	Noun
Arrangement	布置	bùzhì	Noun
Arrangement	整理	zhěnglǐ	Noun
Arrangement	日程安排	rì chéng ān pái	Noun
Arrangement	秩序	zhì xù	Noun
Arrangement	约定	yuē dìng	Noun
Arrangement	顺序	shùn xù	Noun
Array	排列	páiliè	Noun
Arrest	拘留	jūliú	Verb
Arrest	捉	zhuō	Verb
Arrest	止住	zhǐ zhù	Verb
Arrest	逮	dǎi	Verb
Arrest	逮住	dǎi zhù	Verb
Arrest	逮到	dǎi dào	Verb
Arrest	逮捕	dǎi bǔ	Verb
Arresting	逮捕	dǎi bǔ	Verb
Arrival	到达	dào dá	Noun
Arrive	到	dào	Verb
Arrive	到达	dào dá	Verb
Arrive	抵达	dǐdá	Verb
Arrive	降临	jiànglín	Verb
Arrived	到	dào	Verb
Arrived	到了	dào le	Verb
Arrived	到家	dào jiā	Verb
Arrived	到来	dào lái	Verb
Arrived	到的	dào de	Verb
Arrived	到达	dào dá	Verb
Arrived	到达了	dào dá le	Verb
Arrived	抵达	dǐdá	Verb
Arrived	抵达了	dǐ dá le	Verb
Arrived	提早到	tí zǎo dào	Verb
Arrives	到	dào	Noun
Arriving	到	dào	Verb
Arriving	到达	dào dá	Verb
Arriving	抵达	dǐdá	Verb
Arrow	箭	jiàn	Noun
Arrow	箭头	jiàn tóu	Noun
Art	美术	měi shù	Noun
Art	艺术	yì shù	Noun
Art Exhibition	画展	huà zhǎn	Noun
Art Festival	艺术节	yì shù jié	Noun
Artery	动脉	dòngmài	Noun
Article	件物品	jiàn wù pǐn	Noun
Article	文章	wén zhāng	Noun
Article	物件	wù jiàn	Noun
Article	篇文章	piān wén zhāng	Noun
Article	篇章	piān zhāng	Noun
Article	长帖	zhǎng tiē	Noun
Artificial	人为	rénwéi	Adjective
Artificial	人工	réngōng	Adjective
Artificial	人工的	rén gōng de	Adjective
Artificial Intelligence	人工智能	rén gōng zhì néng	Noun
Artist	艺术家	yì shù jiā	Noun
Artistic	艺术家	yì shù jiā	Noun
Artistic	艺术的	yì shù de	Noun
Artists	艺术家	yì shù jiā	Noun
Arts And Crafts	工艺品	gōngyìpǐn	Noun
Artwork	艺术品	yì shù pǐn	Noun
As	一样	yī yàng	Conjunction
As	伴着	bàn zhe	Conjunction
As	作为	zuò wèi	Conjunction
As	做	zuò	Conjunction
As	像	xiàng	Conjunction
As	和	hé	Conjunction
As	如	rú	Conjunction
As	如同	rú tóng	Conjunction
As	当	dāng	Conjunction
As	当还是	dāng hái shì	Conjunction
As	既是	jì shì	Conjunction
As	既然	jì rán	Conjunction
As	时	shí	Conjunction
As	时为	shí wèi	Conjunction
As	跟	gēn	Conjunction
As	身为	shēn wèi	Conjunction
As	边	biān	Conjunction
As	鉴于	jiànyú	Conjunction
As	阿斯	ā sī	Conjunction
As	随着	suí zhe	Conjunction
As A Matter Of Fact	事实上	shì shí shàng	Noun
As A Result	从而	cóng ér	Noun
As A Result Of	由于	yóu yú	Noun
As A Souvenir	留念	liúniàn	Noun
As Always	一如既往	yìrújìwǎng	Adverb
As Before	照样	zhàoyàng	Preposition
As Everyone Knows	众所周知	zhòngsuǒzhōuzhī	Conjunction
As Far As	为止	wèi zhǐ	Noun
As Far As I Know	据我所知	jù wǒ suǒ zhī	Noun
As Far As I'm Concerned	就我而言	jiù wǒ ér yán	Noun
As Far As Possible	尽量	jìnliàng	Conjunction
As For	至于	zhì yú	Preposition
As If	仿佛	fǎng fú	Adverb
As If	似乎	shì hū	Adverb
As If	好像	hǎo xiàng	Adverb
As If	犹如	yóurú	Adverb
As Long As	只要	zhǐ yào	Conjunction
As Many	这么多	zhè me duō	Noun
As Much As	一样多	yī yàng duō	Noun
As Much As Possible	尽可能	jǐn kě néng	Noun
As One Wishes	称心如意	chènxīnrúyì	Conjunction
As Opposed To	与...相反	yǔ ... xiāng fǎn	Noun
As Soon As	一旦	yī dàn	Noun
As Soon As Possible	及早	jízǎo	Conjunction
As Soon As Possible	尽快	jǐn kuài	Conjunction
As Though	似乎	shì hū	Noun
As To	至于	zhì yú	Noun
