English	French	Part of Speech
American Dream	rêve américain	Noun
Amiable	aimable	Noun
Amid	parmi	Preposition
Among	entre	Preposition
Among	parmi	Preposition
Amongst	parmi	Noun
Amount	importance	Noun
Amount	montant	Noun
Amount	quantité	Noun
Amour	amour	Noun
Ampoule	l'ampoule	Noun
Amusement Park	parc d'amusement	Noun
Amusement Park	parc d'attractions	Noun
Amusing	amusant	Adjective
Amusing	drôle	Adjective
An	une	Determiner
An Instrument	jouer	Verb
An Optimist	optimiste	Noun
Ancestor	ancêtre	Noun
Ancestry	l'origine	Noun
Ancient	ancien	Adjective
Ancient	vieux	Adjective
Ancient Era	l'Antiquité	Noun
And A Half	demi	Noun
And Had	et possédait	Noun
And Then	et là	Noun
Angel	ange	Noun
Angel	l'ange	Noun
Angel	l’ange	Noun
Anger	colère	Noun
Angle	l'angle	Noun
Angry	en colère	Adjective
Angry	furieux	Adjective
Angry	fâchent	Adjective
Angry	fâcher	Adjective
Angry	fâches	Adjective
Angry	fâché	Adjective
Angry	mécontent	Adjective
Angry	mécontente	Adjective
Angry	énervé	Adjective
Angry That	en colère que	Noun
Anguish	l'angoisse	Noun
Anguish	la détresse	Noun
Animal	animale	Noun
Animal	bestial	Noun
Animal	bête	Noun
Animal	primaire	Noun
Animal Farming	l'élevage	Noun
Animals	animaux	Noun
Animals'	animaux	Noun
Animated	animé	Verb
Animated	animée	Verb
Animated	d'animation	Verb
Animation	animation	Noun
Ankle	cheville	Noun
Anniversary	anniversaire	Noun
Anniversary	cinquantième	Noun
Anniversary	d'anniversaire	Noun
Anniversary	d’anniversaire	Noun
Anniversary	l'anniversaire	Noun
Anniversary	l’anniversaire	Noun
Announce	annonce	Noun
Announce	annoncent	Noun
Announce	annoncer	Noun
Announce	annonceront	Noun
Announce	annonçons	Noun
Announce	communiquez	Noun
Announce	déclare	Noun
Announce	déclarera	Noun
Announce	déclarons	Noun
Announce	j'annoncerai	Noun
Announcement	annonce	Noun
Announcement	faire-part	Noun
Announcing	annoncer	Verb
Annoy	agacent	Noun
Annoy	agacer	Noun
Annoy	déplaisent	Noun
Annoy	déplaît	Noun
Annoy	embêtaient	Noun
Annoy	embêtent	Noun
Annoy	embêtera	Noun
Annoy	ennuieront	Noun
Annoy	ennuyaient	Noun
Annoy	fatiguaient	Noun
Annoy	fâchais	Noun
Annoy	fâchera	Noun
Annoy	fâcheront	Noun
Annoy	gênerait	Noun
Annoy	irrite	Noun
Annoy	l'agace	Noun
Annoy	l'agacent	Noun
Annoy	m'embête	Noun
Annoy	m'embêtent	Noun
Annoy	m'ennuie	Noun
Annoy	m'énerve	Noun
Annoy	t'ennuierais	Noun
Annoy	t'irrite	Noun
Annoy	t'énerve	Noun
Annoy	t'énervent	Noun
Annoy	tracassait	Noun
Annoy	t’embête	Noun
Annoy	vexe	Noun
Annoy	énervaient	Noun
Annoy	énervait	Noun
Annoy	énervent	Noun
Annoy	énerver	Noun
Annoy	énerverait	Noun
Annoy	énerves	Noun
Annoyance	l'agacement	Noun
Annoyed	énervé	Verb
Annoying	agaçant	Verb
Annoying	pénible	Verb
Annoying	énervant	Verb
Annoying	énerver	Verb
Annual	annuel	Noun
Another	autre	Noun
Another	d'aucun	Noun
Another	d'autre	Noun
Another	d'un	Noun
Another	d'une	Noun
Another	d’autre	Noun
Another	d’une	Noun
Another	encore	Noun
Another	l'autre	Noun
Another	l’autre	Noun
Another	qu’une	Noun
Answer	décrochez	Noun
Answer	l'option	Noun
Answer	répond	Noun
Answer	répond à	Noun
Answer	répondent	Noun
Answer	répondent à	Noun
Answer	répondes	Noun
Answer	répondez	Noun
Answer	répondez à	Noun
Answer	répondions	Noun
Answer	répondit	Noun
Answer	répondons	Noun
Answer	répondons à	Noun
Answer	répondrai	Noun
Answer	répondras	Noun
Answer	répondre	Noun
Answer	répondre de	Noun
Answer	répondre à	Noun
Answer	répondrez	Noun
Answer	réponds	Noun
Answer	réponds à	Noun
Answer	répondu	Noun
Answer	réponse	Noun
Answer	solution	Noun
Answered	répondre	Verb
Answered	répondu	Verb
Answering Machine	le répondeur	Noun
Answers	répond	Noun
Answers	répondre	Noun
Ant	fourmi	Noun
Antagonism	l'hostilité	Noun
Antarctica	l'Antarctique	Noun
Antenna	antenne	Noun
Anthem	l'hymne	Noun
Anti-Inflammatory Drug	l'anti-inflammatoire	Noun
Anti-Inflammatory Medicine	l'anti-inflammatoire	Noun
Antibacterial Medicine	l'antibiotique	Noun
Antibiotic	antibiotique	Noun
Antibiotic	l'antibiotique	Noun
Anticipated	anticipé	Verb
Anticipated	anticipée	Verb
Anticipated	l'espérait	Verb
Anticipated	m'attendais	Verb
Anticipated	pressentie	Verb
Anticipated	prévu	Verb
Anticipated	s'attendaient	Verb
Anticipated	s'attendait	Verb
Anticipated	t'attendais	Verb
Anticipation	l'attente	Noun
Antidepressant	l'antidépresseur	Noun
Antipathy	l'antipathie	Noun
Antiperspirant	le déodorant	Noun
Antique	-ienne	Noun
Antique	ancien	Noun
Antique	anciennes	Noun
Antique	anciens	Noun
Antique	vieillir	Noun
Antique	à l'ancienne	Noun
Antiquity	Antiquité	Noun
Antiquity	l'Antiquité	Noun
Antiseptic Alcohol	l'alcool	Noun
Anxiety	l'angoisse	Noun
Anxious	agité	Adjective
Anxious	angoissé	Adjective
Anxious	angoissée	Adjective
Anxious	angoissées	Adjective
Anxious	angoissés	Adjective
Anxious	anxieux	Adjective
Any	aucun	Noun
Any	aucune	Noun
Any	d'	Noun
Any	des	Noun
Any	n'importe lequel	Noun
Any	n'importe quel	Noun
Any	n'importe quelle	Noun
Any	tout	Noun
Any Exercise	de l'exercice	Noun
Any Kind Of	n'importe quelle	Noun
Any Longer	désormais	Noun
Any Longer	plus	Noun
Any Old	n'importe lequel	Noun
Any One	n'importe lequel	Noun
Any One	n'importe quelle	Noun
Any Time	à tout moment	Noun
Any Type Of	n'importe quelle	Noun
Any Which Way	n'importe comment	Noun
Anybody	aucun	Noun
Anybody	d'aucun	Noun
Anybody	d'autre	Noun
Anybody	n'importe qui	Noun
Anybody	personne	Noun
Anybody	quelqu'un	Noun
Anybody	qu’un	Noun
Anyhow	bref	Noun
Anyhow	de toute façon	Noun
Anymore	plus	Noun
Anyone	monde	Noun
Anyone	n'importe qui	Noun
Anyone	personne	Noun
Anyone	quelqu'un	Noun
Anything	d'autre	Verb
Anything	n'importe	Verb
Anything	n'importe quoi	Verb
Anything	n’importe	Verb
Anything	rien	Verb
Anything	tous	Verb
Anything	tout	Verb
Anything	toute	Verb
Anything	toutes	Verb
Anything Special	rien de spécial	Noun
Anytime	n'importe quand	Noun
Anyway	bref	Adverb
Anyway	d'ailleurs	Adverb
Anyway	enfin	Adverb
Anyway	quand même	Adverb
Anyway	toujours	Adverb
Anywhere	n'importe	Noun
Anywhere	n'importe où	Noun
Anywhere	n’importe	Noun
Apart	à part	Noun
Apart From	dehors	Noun
Apart From	hormis	Noun
Apart From	sinon	Noun
Apartment	appart	Noun
Apartment	appartement	Noun
Apartment	l'appartement	Noun
Apartment Building	immeuble	Noun
Apartment's	logement	Noun
Apartments	appartements	Noun
Aperitif	apéritif	Noun
Aperitif	apéro	Noun
Aperitif	l'apéritif	Noun
Apologies	excuses	Noun
Apologize	excuser	Noun
Apologize	excuserai	Noun
Apologize	excuserais	Noun
Apologize	excuserait	Noun
Apologize	m'excuse	Noun
Apologize	s'excuser	Noun
Apology	apologie	Noun
Apology	excuses	Noun
App	appli	Noun
App	application	Noun
App	l'application	Noun
App's	appli	Noun
App's	application	Noun
Appalled	indigné	Verb
Appalling	révoltant	Adjective
Apparently	apparemment	Adverb
Appeal	l'attirance	Noun
Appealing	attirant	Verb
Appear	apparais	Noun
Appear	apparaisse	Noun
Appear	apparaissent	Noun
Appear	apparaissez	Noun
Appear	apparaissons	Noun
Appear	apparaît	Noun
Appear	apparaître	Noun
Appearance	allure	Noun
Appearance	apparence	Noun
Appearance	apparences	Noun
Appearance	apparition	Noun
Appearance	aspect	Noun
Appearance	d'apparence	Noun
Appearance	l'allure	Noun
Appearance	l'apparence	Noun
Appearance	l'aspect	Noun
Appearance	l'expression	Noun
Appearance	l'impression	Noun
Appearance	l’allure	Noun
Appearance	l’apparence	Noun
Appearance	manifestation	Noun
Appearance	présentation	Noun
Appeared	apparaître	Verb
Appeared	paraître	Verb
Appetite	l'appétit	Noun
Appetizer	entrée	Noun
Appetizer	l'amuse-gueule	Noun
Appetizer	l'entrée	Noun
Appetizers	entrée	Noun
Appetizers	entrées	Noun
Appetizing	appétissant	Adjective
Applaud	applaudir	Noun
Apple	pomme	Noun
Apple Tree	pommier	Noun
Applesauce	compote	Noun
Appliance	appareil électroménager	Noun
Appliance	d'appareil	Noun
Appliance	d’appareil	Noun
Appliance	l'appareil	Noun
Appliance	l’appareil	Noun
Applicable	échéant	Adjective
Applicant	candidat	Noun
Application	appli	Noun
Application	candidature	Noun
Application	l'application	Noun
Applied For	demander	Noun
Applied For	postuler	Noun
Applied For	solliciter	Noun
Apply	postuler	Adverb
Apply/are Applying	valent	Noun
Applying	postuler	Verb
Appointment	consultation	Noun
Appointment	consultations	Noun
Appointment	l'entretien	Noun
Appointment	rencard	Noun
Appointment	rencards	Noun
Appointment	rendez-vous	Noun
Appointment	échéances	Noun
Appreciate	appréciait	Noun
Appreciate	apprécie	Noun
Appreciate	apprécient	Noun
Appreciate	apprécier	Noun
Appreciate	apprécieront	Noun
Appreciate	apprécions	Noun
Appreciate	estimez	Noun
Appreciate	likes	Noun
Appreciate	remercieras	Noun
Appreciate	savourons	Noun
Appreciate	savouré	Noun
Appreciate	ça me ferait plaisir	Noun
Appreciated	monté	Verb
Appreciating	apprécier	Verb
Appreciation	reconnaissance	Noun
Apprentice	l'apprenti	Noun
Apprenticeship	apprentissage	Noun
Apprenticeships	apprentissage	Noun
Approach	(s'	Noun
Approach	abordait	Noun
Approach	aborde	Noun
Approach	aborder	Noun
Approach	abordés	Noun
Approach	approcha	Noun
Approach	approchaient	Noun
Approach	approche	Noun
Approach	approchent	Noun
Approach	approcher	Noun
Approach	approches	Noun
Approach	approchez	Noun
Approach	approchions	Noun
Approach	approchons	Noun
Approach	approchés	Noun
Approach	approximation	Noun
Approach	arrivée	Noun
Approach	avança	Noun
Approach	avançaient	Noun
Approach	avançait	Noun
Approach	démarche	Noun
Approach	faire des démarches auprès de	Noun
Approach	fais des démarches auprès de	Noun
Approach	la stratégie	Noun
Approach	menée	Noun
Approach	proposition	Noun
Approach	rapprochaient	Noun
Approach	rapprochait	Noun
Approach	rapproche	Noun
Approach	rapprochement	Noun
Approach	rapprochent	Noun
Approach	rapproches	Noun
Approach	rapproché	Noun
Approach	s'adresser à	Noun
Approach	s'approcher de	Noun
Approach	sollicite	Noun
Approach	solliciter	Noun
Approach	sollicités	Noun
Approach	voie d'accès	Noun
Appropriate	approprié	Noun
Appropriately	correctement	Adverb
Approval	approbation	Noun
Approximate	approximatif	Adjective
Approximate	approximatifs	Adjective
Approximate	approximative	Adjective
Approximate	approximatives	Adjective
Approximately	approximativement	Adverb
Approximately	d'environ	Adverb
Approximately	d’environ	Adverb
Approximately	environ	Adverb
Approximately	qu'environ	Adverb
Approximately	qu’environ	Adverb
Approximately	à peu près	Adverb
Apricot	abricot	Adjective
April	avril	Noun
April	l'avril	Noun
April Fools' Joke	poisson d'avril	Noun
Aptitude	l'aptitude	Noun
Aquarium	l'aquarium	Noun
Ar	la réalité augmentée	Noun
Arabic	arabe	Noun
Arabic	l'arabe	Noun
Arbitrate In	juger	Noun
Archeologist	archéologue	Noun
Architect	architecte	Noun
Architect	concepteur	Noun
Architect	concepteurs	Noun
Architect	l'architecte	Noun
Architecture	architecture	Noun
Arctic	polaire	Adjective
Are	apprêtez	Noun
Are	coûtent	Noun
Are	est	Noun
Are	seras	Noun
Are	serons	Noun
Are	soient	Noun
Are	sois	Noun
Are	sommes	Noun
Are	sont	Noun
Are	sont à	Noun
Are	sont-ils	Noun
Are	êtes	Noun
Are	être	Noun
Are Able To	peux	Noun
Are Acting	jouent	Noun
Are Allowed To	peux	Noun
Are Answering	répondent	Noun
Are Answering	répondez	Noun
Are Answering	répondons	Noun
Are Answering	réponds	Noun
Are As Good As	valent	Noun
Are Asking	demande	Noun
Are Becoming	devenez	Noun
Are Bedecked	parent	Noun
Are Being	est	Noun
Are Being	sont	Noun
Are Being	êtes	Noun
Are Buying	achetez	Noun
Are Buying	achetons	Noun
Are Buying	achètes	Noun
Are Called	t'appelles	Noun
Are Calling	appelez	Noun
Are Choosing	choisis	Noun
Are Choosing	choisissent	Noun
Are Choosing	choisissez	Noun
Are Choosing	choisissons	Noun
Are Cleaning	nettoies	Noun
Are Cleaning	nettoyons	Noun
Are Coming	venez	Noun
Are Coming	venons	Noun
Are Coming	viennent	Noun
Are Coming	viens	Noun
Are Coming Back	revenez	Noun
Are Coming Back	revenons	Noun
Are Coming Back	reviennent	Noun
Are Coming Out	sors	Noun
Are Cooking	cuisines	Noun
Are Cooking	cuisinez	Noun
Are Covering Up	couvres	Noun
Are Doing	fais	Noun
Are Doing	faisons	Noun
Are Doing	faites	Noun
Are Doing	font	Noun
Are Donating	donnes	Noun
Are Drawn	dessines	Noun
Are Drinking	boivent	Noun
Are Drinking	buvez	Noun
Are Drinking	buvons	Noun
Are Driving	conduis	Noun
Are Driving	conduisent	Noun
Are Driving	conduisez	Noun
Are Eating	mangent	Noun
Are Eating	mangeons	Noun
Are Eating	manges	Noun
Are Eating	mangez	Noun
Are Feeling	sentez	Noun
Are Feeling	sentons	Noun
Are Filming	tournez	Noun
Are Finding	trouvent	Noun
Are Finishing	finis	Noun
Are Finishing	finissent	Noun
Are Finishing	finissez	Noun
Are Finishing	finissons	Noun
Are Getting	prenez	Noun
Are Getting	prennent	Noun
Are Getting Off	descend	Noun
Are Giving	donnes	Noun
Are Giving	offrons	Noun
Are Going	aillent	Noun
Are Going	allez	Noun
Are Going	allons	Noun
Are Going	pars	Noun
Are Going	vas	Noun
Are Going	vont	Noun
Are Going Out	sors	Noun
Are Going Out	sortent	Noun
Are Going Out	sortons	Noun
Are Going To	allons	Noun
Are Going To	vas	Noun
Are Going To	vont	Noun
Are Having	prend	Noun
Are Having	prends	Noun
Are Having	prenez	Noun
Are Having	prennent	Noun
Are Having	prenons	Noun
Are Hearing	entendons	Noun
Are Helping	aidez	Noun
Are Hosting	accueillent	Noun
Are Hosting	accueilles	Noun
Are Hosting	accueillons	Noun
Are Learning	apprends	Noun
Are Learning	apprenez	Noun
Are Learning	apprennent	Noun
Are Learning	apprenons	Noun
Are Leaving	pars	Noun
Are Leaving	partent	Noun
Are Leaving	partez	Noun
Are Leaving	partons	Noun
Are Leaving	sortent	Noun
Are Leaving For	partons	Noun
Are Listening	écoutes	Noun
Are Listening	écoutons	Noun
Are Listening To	écoutes	Noun
Are Listening To	écoutez	Noun
Are Listening To	écoutons	Noun
Are Living	habitent	Noun
Are Living	habitez	Noun
Are Living	habitons	Noun
Are Living In	habites	Noun
Are Looking At	regardent	Noun
Are Making	faisons	Noun
Are Making	faites	Noun
Are Making	font	Noun
Are Making	préparent	Noun
Are Making	prépares	Noun
Are Making	préparez	Noun
Are Making	préparons	Noun
Are Not	n'y	Noun
Are Not Being	ne sont pas en train d'être	Noun
Are Not Being	ne sont pas protégés	Noun
Are Opening	ouvrent	Noun
Are Opening	ouvrez	Noun
Are Passing	passe	Noun
Are Playing	jouent	Noun
Are Preparing	préparent	Noun
Are Putting	met	Noun
Are Putting	mets	Noun
Are Putting	mettent	Noun
Are Putting	mettez	Noun
Are Putting	mettons	Noun
Are Putting On	mets	Noun
Are Putting On	mettent	Noun
Are Putting On	mettez	Noun
Are Putting Up	mettent	Noun
Are Racing	courent	Noun
Are Reading	lis	Noun
Are Reading	lisent	Noun
Are Reading	lisez	Noun
Are Reading	lisons	Noun
Are Replying	répondez	Noun
Are Replying	répondons	Noun
Are Replying	réponds	Noun
Are Replying To	répondent	Noun
Are Replying To	répondez	Noun
Are Running	courent	Noun
Are Running	courez	Noun
Are Running	courons	Noun
Are Rushing	courent	Noun
Are Saying	dis	Noun
Are Saying	disent	Noun
Are Saying	disons	Noun
Are Saying	dites	Noun
Are Searching	recherche	Noun
Are Seeing	voient	Noun
Are Seeing	vois	Noun
Are Seeing	voyez	Noun
Are Seeing	voyons	Noun
Are Selling	vendent	Noun
Are Selling	vendez	Noun
Are Selling	vendons	Noun
Are Selling	vends	Noun
Are Sending	envoyez	Noun
Are Sending	envoyons	Noun
Are Singing	chantent	Noun
Are Singing	chantes	Noun
Are Sleeping	dorment	Noun
Are Sleeping	dormons	Noun
Are Sleeping	dors	Noun
Are Speaking	parlent	Noun
Are Speaking	parles	Noun
Are Speaking	parlez	Noun
Are Starting	commençons	Noun
Are Staying	restes	Noun
Are Staying	restez	Noun
Are Studying	apprends	Noun
Are Studying	apprenez	Noun
Are Studying	apprennent	Noun
Are Studying	apprenons	Noun
Are Studying	étudient	Noun
Are Studying	étudies	Noun
Are Studying	étudiez	Noun
Are Studying	étudions	Noun
Are Swimming	nagent	Noun
Are Swimming	nageons	Noun
Are Swimming	nages	Noun
Are Taking	prends	Noun
Are Taking	prenez	Noun
Are Taking	prennent	Noun
Are Taking	prenons	Noun
Are Talking	parle	Noun
Are Talking	parlent	Noun
Are Talking	parles	Noun
Are Talking	parlez	Noun
Are Teaching	apprends	Noun
Are Telling	dis	Noun
Are Telling	dites	Noun
Are There	est-ce qu'il y a	Noun
Are They	est-ce qu'elles sont	Noun
Are They	est-ce qu'ils sont	Noun
Are They	sont-elles	Noun
Are They	sont-ils	Noun
Are They Speaking	parlent-ils	Noun
Are They Talking	parlent-ils	Noun
Are Thinking	penses	Noun
Are Thinking	trouvent	Noun
Are Thinking Of	penses	Noun
Are Translating	traduisent	Noun
Are Traveling	voyagent	Noun
Are Traveling	voyageons	Noun
Are Traveling	voyages	Noun
Are Traveling	voyagez	Noun
Are Turning	tournes	Noun
Are Turning	tournez	Noun
Are Used To	servent à	Noun
Are Using	utilises	Noun
Are Visiting	visitent	Noun
Are Visiting	visitez	Noun
Are Visiting	visitons	Noun
Are Waiting	attendent	Noun
Are Waiting	attendez	Noun
Are Waiting	attendons	Noun
Are Waiting	attends	Noun
Are Waiting For	attendent	Noun
Are Waiting For	attendez	Noun
Are Waiting For	attendons	Noun
Are Waiting For	attends	Noun
Are Walking	marches	Noun
Are Watching	regardent	Noun
Are Watching	regardons	Noun
Are Wearing	mettez	Noun
Are Wearing	mettons	Noun
Are Working	travaillent	Noun
Are Working	travailles	Noun
Are Working	travaillez	Noun
Are Working	travaillons	Noun
Are Worried	craignons	Noun
Are Worth	valent	Noun
Are Writing	écris	Noun
Are Writing	écrivent	Noun
Are Writing	écrivez	Noun
Are You	es-tu	Noun
Are You	est-ce que vous êtes	Noun
Are You	faites-vous	Noun
Are You	venez-vous	Noun
Are You	vous êtes	Noun
Are You	êtes-vous	Noun
Are You Doing	fais-tu	Noun
Are You Doing	faites-vous	Noun
Are You Fond Of	aimes-tu	Noun
Are You Going	allez-vous	Noun
Are You Going	vas-tu	Noun
Are You Having	prenez-vous	Noun
Are You Laboring	travaillez-vous	Noun
Are You Living	habites-tu	Noun
Are You Speaking	parles-tu	Noun
Are You Talking	parles-tu	Noun
Are You Traveling	voyagez-vous	Noun
Are You Working	travaillez-vous	Noun
Area	aire	Noun
Area	coin	Noun
Area	secteur	Noun
Area	zone	Noun
Area's	zone	Noun
Aren't	n'es pas	Noun
Aren't	n'es-tu pas	Noun
Aren't	n'est pas	Noun
Aren't They	n'est-ce pas	Noun
Aren't We	n'est-ce pas	Noun
Argue	discutez	Noun
Argue	disputais	Noun
Argue	disputent	Noun
Argue	disputer	Noun
Argue	disputerez	Noun
Argue	disputez	Noun
Argue	disputiez	Noun
Argue	disputons	Noun
Argue	débattent	Noun
Argue	débattue	Noun
Argue	défendez	Noun
Argue	plaiderons	Noun
Argue	suggérer	Noun
Argues	suggérer	Noun
Argument	différends	Noun
Argument	dispute	Noun
Argument	l'argument	Noun
Aridity	la sécheresse	Noun
Arisen	né	Noun
Aristocrat	l'aristocrate	Noun
Arm	bras	Noun
Arm	d'arme	Noun
Arm	l'arme	Noun
Armchair	fauteuil	Noun
Armed	armé	Verb
Armed	armée	Verb
Army	armée	Noun
Army	l'armée	Noun
Army's	armée	Noun
Aromatic	aromatique	Adjective
Arose	né	Noun
Around	autour	Adverb
Around	bricoler	Adverb
Around	environ	Adverb
Around	vers	Adverb
Around	à peu près	Adverb
Around	à travers	Adverb
Around Here	d'ici	Noun
Arrange	adapter	Noun
Arrange	adapterai	Noun
Arrange	adapteras	Noun
Arrange	adapterez	Noun
Arrange	aménagées	Noun
Arrange	arrangeons	Noun
Arrange	arranger	Noun
Arrange	arrangera	Noun
Arrange	arrangerai	Noun
Arrange	arrangeras	Noun
Arrange	arrangerez	Noun
Arrange	arranges	Noun
Arrange	arrangez	Noun
Arrange	coiffées	Noun
Arrange	configurons	Noun
Arrange	disposer	Noun
Arrange	disposerai	Noun
Arrange	disposeras	Noun
Arrange	disposerez	Noun
Arrange	fixer	Noun
Arrange	fixerai	Noun
Arrange	fixeras	Noun
Arrange	fixerez	Noun
Arrange	j'organise	Noun
Arrange	l'organisent	Noun
Arrange	l’organise	Noun
Arrange	m'occupe	Noun
Arrange	n'organises	Noun
Arrange	organiser	Noun
Arrange	organiserai	Noun
Arrange	organiseras	Noun
Arrange	organiserez	Noun
Arrange	placés	Noun
Arrange	planifiions	Noun
Arrange	réglée	Noun
Arrange	set	Noun
Arrange	s’apprêtent	Noun
Arrangement	accord	Noun
Arrangement	composition	Noun
Arrangement	dispositif	Noun
Arrangement	disposition	Noun
Arrangement	dispositions	Noun
Arrangement	entente	Noun
Arrangement	l'arrangement	Noun
Arrangement	l'ordonnance	Noun
Arrangement	l'ordre	Noun
Arrangement	l'organisation	Noun
Arrangement	l’ordre	Noun
Arrangement	l’organisation	Noun
Arrangement	mesures	Noun
Arrangement	ordonnée	Noun
Arrangement	organisation	Noun
Arrangement	préparatifs	Noun
Arrangements	les préparatifs	Noun
Arranges	arranger	Noun
Arranges	organiser	Noun
Arranges	préparer	Noun
Arranging	organiser	Verb
Array Oneself	parent	Noun
Arrest	arrestation	Noun
